number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_eta,params_lambda,params_max_depth,params_min_child_weight,params_subsample,state
0,1.1689887338381546,2025-11-19 02:23:21.533222,2025-11-19 02:23:31.049056,0 days 00:00:09.515834,0.034107896197884645,0.600503113239935,0.1295469198302042,2.7285861574131133e-08,8,7,0.8447252802389926,COMPLETE
1,1.2441407399164197,2025-11-19 02:23:21.539296,2025-11-19 02:23:29.176146,0 days 00:00:07.636850,3.985728805432311e-06,0.6031892577065512,0.21114986934564078,3.0514862628081794e-07,7,5,0.7610976653267149,COMPLETE
2,1.2575111698442214,2025-11-19 02:23:21.546301,2025-11-19 02:23:34.532878,0 days 00:00:12.986577,0.08199302037313388,0.6182362139043062,0.1559482020737046,0.00016478126537846879,10,1,0.5117204654593788,COMPLETE
3,1.096020687844413,2025-11-19 02:23:21.550298,2025-11-19 02:23:43.077604,0 days 00:00:21.527306,0.8020346585587782,0.7281923819605922,0.051487465768,0.0011985105641135793,15,6,0.9068105839583083,COMPLETE
4,1.0477208822064028,2025-11-19 02:23:21.553300,2025-11-19 02:23:42.443754,0 days 00:00:20.890454,49.87193762836377,0.9922862973067978,0.08349830547556264,98.94116810400287,15,3,0.9856605906584807,COMPLETE
5,1.2307703721212184,2025-11-19 02:23:21.561301,2025-11-19 02:23:32.557689,0 days 00:00:10.996388,1.4007507054470998e-07,0.6107003729836022,0.19243243533505341,0.14464303985977436,9,7,0.7400986132514873,COMPLETE
6,1.0515186114507293,2025-11-19 02:23:21.563302,2025-11-19 02:23:40.598922,0 days 00:00:19.035620,50.30742210354796,0.9867790281433085,0.1477709918578312,98.01707521903992,13,4,0.7796238066839568,COMPLETE
7,1.0499032545848546,2025-11-19 02:23:21.573303,2025-11-19 02:23:27.338596,0 days 00:00:05.765293,2.301701613073895e-07,0.6994608666875007,0.016860820974652618,0.0069934517616039105,5,7,0.7081170191463444,COMPLETE
8,1.1216258614305323,2025-11-19 02:23:21.576306,2025-11-19 02:23:42.376380,0 days 00:00:20.800074,0.016866490940030274,0.7053465929544402,0.09450886072785959,0.015871446389979598,15,6,0.7272221588987153,COMPLETE
9,1.042768571451768,2025-11-19 02:23:21.582308,2025-11-19 02:23:26.250440,0 days 00:00:04.668132,97.10021416391051,0.9691168243553469,0.2185919140633681,3.3787018483022475e-06,8,4,0.6468563626551592,COMPLETE
10,1.2332074371080184,2025-11-19 02:23:21.590306,2025-11-19 02:23:35.440087,0 days 00:00:13.849781,0.0006316936122351464,0.90186011958864,0.15274732450425815,1.5747686927068656e-08,12,8,0.5102920007829324,COMPLETE
11,1.129115597098448,2025-11-19 02:23:21.599309,2025-11-19 02:23:33.131040,0 days 00:00:11.531731,1.6804671094524005e-08,0.9908571864630361,0.07574642535594558,0.3007007203907339,9,8,0.9388926810922212,COMPLETE
12,1.1040432083196645,2025-11-19 02:23:26.260702,2025-11-19 02:23:43.494531,0 days 00:00:17.233829,0.0002531959193241319,0.8135703470300651,0.057043870351397304,2.106319713553604e-06,12,8,0.8870054670257528,COMPLETE
13,1.1828864283199187,2025-11-19 02:23:27.350829,2025-11-19 02:23:35.427084,0 days 00:00:08.076255,1.0362009148964728e-08,0.8362662969102346,0.16778744633035214,2.0854309548119284e-08,6,3,0.6577854975819668,COMPLETE
14,1.108383403959039,2025-11-19 02:23:29.184147,2025-11-19 02:23:48.574100,0 days 00:00:19.389953,1.0353557004824705,0.6974096875551006,0.0906692715265122,4.784535360482217e-06,13,1,0.7065413249008423,COMPLETE
15,1.0894626309877717,2025-11-19 02:23:31.058152,2025-11-19 02:23:52.143197,0 days 00:00:21.085045,0.25712565778814145,0.7693391100779858,0.2041441859800032,59.744806403235664,13,1,0.6374249058369333,COMPLETE
16,1.0448280521735287,2025-11-19 02:23:32.574904,2025-11-19 02:23:53.407768,0 days 00:00:20.832864,16.783857154832162,0.6108825864249888,0.012285970570376661,0.0006555433100233425,15,7,0.945140691929954,COMPLETE
17,1.1852603318515114,2025-11-19 02:23:33.139041,2025-11-19 02:23:50.627951,0 days 00:00:17.488910,0.0016261317510150289,0.9464542223921157,0.13562540327381045,2.2133501677922173e-07,12,7,0.7103187528939012,COMPLETE
18,1.070738716153713,2025-11-19 02:23:34.537991,2025-11-19 02:23:47.259102,0 days 00:00:12.721111,6.554241221520581,0.8669196039117342,0.026575036722817587,0.3736985266982001,8,3,0.994517099784522,COMPLETE
19,1.1218002477936544,2025-11-19 02:23:35.430085,2025-11-19 02:23:50.823994,0 days 00:00:15.393909,0.008620397200229403,0.5421122977718732,0.056265535666471696,4.89120799338811e-08,11,1,0.6641103240658656,COMPLETE
20,1.1972786250729224,2025-11-19 02:23:35.442193,2025-11-19 02:23:47.190494,0 days 00:00:11.748301,5.057416477484937,0.9107739058822789,0.27191777393923233,3.0004734698265145,8,2,0.5780155151118066,COMPLETE
