number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_eta,params_lambda,params_max_depth,params_min_child_weight,params_subsample,state
0,82.83779535951611,2025-11-16 21:20:17.215403,2025-11-16 21:21:32.852747,0 days 00:01:15.637344,11.176910394585095,0.95636482598654,0.10731006525414852,5.815193632920067,14,4,0.8522952251360281,COMPLETE
1,85.94690963303042,2025-11-16 21:20:17.218402,2025-11-16 21:21:10.429670,0 days 00:00:53.211268,0.00044360043403695915,0.8648760628346392,0.2384849225586597,2.838245630982558e-07,15,1,0.7413143651094523,COMPLETE
2,80.26287337774025,2025-11-16 21:20:17.228058,2025-11-16 21:21:10.395045,0 days 00:00:53.166987,0.0016994717613640264,0.8459832688684905,0.07732817851049582,0.2659027942469762,9,6,0.5078858558041761,COMPLETE
3,92.61541437265562,2025-11-16 21:20:17.237518,2025-11-16 21:20:49.635914,0 days 00:00:32.398396,0.04364421981687882,0.6459536932973792,0.2978507189357781,0.0025192775794624306,8,1,0.6908337509007992,COMPLETE
4,96.76307379790023,2025-11-16 21:20:17.244518,2025-11-16 21:20:53.578419,0 days 00:00:36.333901,20.708930666071733,0.7095582541903231,0.29886336903552285,0.01756004147776735,10,1,0.9651787197342185,COMPLETE
5,92.81697470429104,2025-11-16 21:20:17.247518,2025-11-16 21:22:09.737113,0 days 00:01:52.489595,0.00011787921736292501,0.9097896176219262,0.04929087625764639,0.028250980966226746,12,8,0.9729899664717415,COMPLETE
6,84.22327546643811,2025-11-16 21:20:17.264147,2025-11-16 21:20:48.806592,0 days 00:00:31.542445,6.743668621381709e-06,0.9976833914841863,0.16310013956444214,0.07592978387362814,5,10,0.8847134581557694,COMPLETE
7,81.95338696780406,2025-11-16 21:20:17.270143,2025-11-16 21:20:58.937102,0 days 00:00:41.666959,0.004699778140786228,0.8675012942588838,0.25081014627845527,0.06446505344678485,14,8,0.566501575710924,COMPLETE
8,88.51059925255424,2025-11-16 21:20:17.280147,2025-11-16 21:22:03.947689,0 days 00:01:46.667542,3.998713393919289e-08,0.9949649162527058,0.036840344707508625,4.976538814644044e-06,11,4,0.6429470420395488,COMPLETE
9,86.51921756448147,2025-11-16 21:20:17.286147,2025-11-16 21:22:10.470109,0 days 00:01:53.183962,9.774999142526973e-07,0.901200093316393,0.09707027166317445,6.567127290402774e-07,10,10,0.6575051632271949,COMPLETE
10,90.78623506023948,2025-11-16 21:20:17.300147,2025-11-16 21:20:38.164867,0 days 00:00:20.864720,1.149412637150139,0.5605369934938007,0.2745109367321884,7.276204531806886e-05,6,5,0.6833098296222033,COMPLETE
11,82.7723644423662,2025-11-16 21:20:17.305149,2025-11-16 21:21:40.500221,0 days 00:01:23.195072,6.195872836102582e-08,0.6304675181671276,0.030141892325859107,1.9795635623823244,9,6,0.8090829294173958,COMPLETE
12,89.19114868531813,2025-11-16 21:20:38.171924,2025-11-16 21:21:23.816814,0 days 00:00:45.644890,0.0006417914798224217,0.6980339725781919,0.11484327724475454,0.39942619280714614,9,3,0.7610051137581206,COMPLETE
13,83.64798880843976,2025-11-16 21:20:48.810593,2025-11-16 21:21:57.320795,0 days 00:01:08.510202,5.12828907099658e-07,0.860148515512778,0.03166466185277122,6.9652001541707e-05,10,9,0.5533472575887858,COMPLETE
14,86.83756422143283,2025-11-16 21:20:49.641153,2025-11-16 21:21:53.259354,0 days 00:01:03.618201,5.462087339058993e-08,0.8251859924584453,0.11582901773602666,7.4250406330582085e-06,11,10,0.8376002050935584,COMPLETE
15,88.86652613787763,2025-11-16 21:20:53.603541,2025-11-16 21:21:16.970371,0 days 00:00:23.366830,0.00020965938032590023,0.5021306874054623,0.24980956866324056,1.8422750583151887e-06,9,6,0.9872421326916383,COMPLETE
16,88.109694556483,2025-11-16 21:20:58.946215,2025-11-16 21:22:12.204236,0 days 00:01:13.258021,7.08491286981279e-08,0.6802570800676977,0.017848943045018745,1.4984636903659546e-08,7,5,0.836884986905028,COMPLETE
17,89.22860919519673,2025-11-16 21:21:10.405787,2025-11-16 21:21:25.131437,0 days 00:00:14.725650,0.00017506360476713623,0.6704217790273279,0.20818788671576594,7.268789665307031e-07,8,9,0.7896452910491276,COMPLETE
18,83.40315030640782,2025-11-16 21:21:10.435214,2025-11-16 21:23:46.694335,0 days 00:02:36.259121,2.981664737880667,0.8073158881223614,0.03252730333471808,9.800768497765162,14,8,0.998959451984389,COMPLETE
19,84.44531027435602,2025-11-16 21:21:16.975968,2025-11-16 21:21:32.574254,0 days 00:00:15.598286,2.286336180314839e-08,0.7176309782755342,0.12895269539682122,8.194984027977488e-08,9,5,0.5506615972433468,COMPLETE
20,89.32053282893906,2025-11-16 21:21:23.819888,2025-11-16 21:21:46.648619,0 days 00:00:22.828731,2.3997771805565672e-06,0.7057883319343785,0.09556257879542213,2.2623325537052098e-05,8,10,0.8989966575181987,COMPLETE
21,74.89575891180297,2025-11-16 21:21:25.134438,2025-11-16 21:24:46.419166,0 days 00:03:21.284728,3.0708577359355e-08,0.8165971684267616,0.022689110838589516,11.198721229188555,12,6,0.5091669891851017,COMPLETE
22,77.5004885228935,2025-11-16 21:21:32.581748,2025-11-16 21:24:53.180462,0 days 00:03:20.598714,0.03899261477662252,0.8478871185699303,0.022704603131262505,22.159555661981866,13,8,0.5047768896105053,COMPLETE
23,82.74733976283714,2025-11-16 21:21:32.860791,2025-11-16 21:23:00.025061,0 days 00:01:27.164270,0.048738025053103436,0.8479476531735471,0.06671153986511183,53.45678172940799,12,7,0.5045015000219479,COMPLETE
24,83.30315384346096,2025-11-16 21:21:40.508240,2025-11-16 21:23:35.064025,0 days 00:01:54.555785,0.020365888007539523,0.8352183860380594,0.04584601327882461,86.31045493704669,12,8,0.5102198174922676,COMPLETE
25,75.83783493841321,2025-11-16 21:21:46.650620,2025-11-16 21:24:01.440468,0 days 00:02:14.789848,0.03708807744189806,0.8030749891339045,0.03483958280931787,22.410457185648504,13,8,0.5008844871601436,COMPLETE
26,75.76084067196794,2025-11-16 21:21:53.266356,2025-11-16 21:24:00.529109,0 days 00:02:07.262753,0.02225429795533275,0.8134096853119387,0.05057300857775934,21.35702836717829,12,8,0.5231825758318469,COMPLETE
27,76.28303446154474,2025-11-16 21:21:57.327345,2025-11-16 21:24:03.223045,0 days 00:02:05.895700,0.033359120304909874,0.7951235773703765,0.0655433278319894,33.22384843883711,12,7,0.5041253279535771,COMPLETE
28,80.50070097220213,2025-11-16 21:22:03.956586,2025-11-16 21:22:52.620529,0 days 00:00:48.663943,0.013674593745068662,0.7946571657495759,0.18440409283451073,54.439580085464826,13,7,0.5014438037050937,COMPLETE
29,72.68984953643933,2025-11-16 21:22:09.754455,2025-11-16 21:23:32.990886,0 days 00:01:23.236431,0.02418851745799743,0.7925907363033282,0.21357819267474676,19.29257115202923,13,7,0.5055434805079659,COMPLETE
30,83.5801526745448,2025-11-16 21:22:10.495170,2025-11-16 21:23:32.080037,0 days 00:01:21.584867,0.02558976086137829,0.7862334771807904,0.17438004040830019,60.300764121486836,13,7,0.5170756052928636,COMPLETE
31,84.8601993365972,2025-11-16 21:22:12.222518,2025-11-16 21:22:56.768739,0 days 00:00:44.546221,0.01892864425783383,0.7872779939139772,0.17144001024782307,92.2858923656321,13,7,0.5039125175207708,COMPLETE
32,79.52687109770847,2025-11-16 21:22:52.623071,2025-11-16 21:23:43.148349,0 days 00:00:50.525278,0.013851374587385357,0.7856443456106388,0.19395432214302596,66.28864732791828,13,7,0.5067895363582856,COMPLETE
33,80.52454651236077,2025-11-16 21:22:56.774858,2025-11-16 21:24:26.425948,0 days 00:01:29.651090,0.009482942567871003,0.7769280366529961,0.2026237358266815,50.401305223639845,15,7,0.5879926626039372,COMPLETE
34,70.51833999164946,2025-11-16 21:23:00.036561,2025-11-16 21:26:01.575441,0 days 00:03:01.538880,0.008193560221432836,0.7788673624804194,0.1995282559252175,4.7902472223081665,15,7,0.5974540877322064,COMPLETE
35,76.95676081023497,2025-11-16 21:23:32.083043,2025-11-16 21:24:02.178652,0 days 00:00:30.095609,0.0031820614385902426,0.776369388911478,0.203450759412395,2.623483659785697,15,8,0.6024162845886707,COMPLETE
36,69.24080191432488,2025-11-16 21:23:32.992908,2025-11-16 21:24:46.222401,0 days 00:01:13.229493,0.00265875988948543,0.7734225502833941,0.22350301237702008,6.773988241854566,15,8,0.6079752341326662,COMPLETE
37,78.57887906731158,2025-11-16 21:23:35.071106,2025-11-16 21:24:23.479323,0 days 00:00:48.408217,1.0190607275263803,0.765660707816327,0.21147060076481256,6.082581396479451,15,6,0.6039894046477552,COMPLETE
38,75.59801977497057,2025-11-16 21:23:43.154388,2025-11-16 21:24:33.286585,0 days 00:00:50.132197,0.33163371464047514,0.7603101904342306,0.2062691526052261,8.08587741507748,15,6,0.5965783739741964,COMPLETE
39,76.11971539449648,2025-11-16 21:23:46.701291,2025-11-16 21:24:14.821350,0 days 00:00:28.120059,0.329493636878419,0.748036664682658,0.20208442772313892,0.8695363733687036,15,6,0.6223386672547684,COMPLETE
40,68.86586431746373,2025-11-16 21:24:00.534111,2025-11-16 21:25:21.856183,0 days 00:01:21.322072,0.31843536422654967,0.7601650020370667,0.2101073158768363,4.524545719048851,15,9,0.598770239677453,COMPLETE
41,74.06266174743462,2025-11-16 21:24:01.443467,2025-11-16 21:26:20.223990,0 days 00:02:18.780523,0.23799653150919317,0.7566992967181926,0.1429711778884979,6.283300956252393,15,9,0.6033510321846208,COMPLETE
42,69.73116477844701,2025-11-16 21:24:02.183654,2025-11-16 21:27:02.798794,0 days 00:03:00.615140,0.29608283872737007,0.7537070657637831,0.14202988376400483,6.095089294274951,15,9,0.5823740449448108,COMPLETE
