number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_eta,params_lambda,params_max_depth,params_min_child_weight,params_subsample,state
0,87.17350678727236,2025-12-13 17:44:05.339588,2025-12-13 17:44:17.269584,0 days 00:00:11.929996,0.09803033381734302,0.7122670943033946,0.03897513981573992,7.132497049282862e-06,9,2,0.6819347364182586,COMPLETE
1,86.42315106340627,2025-12-13 17:44:17.353135,2025-12-13 17:44:19.168132,0 days 00:00:01.814997,0.0015895458434600175,0.9993769313425537,0.2568080009228632,4.748968647858192e-06,8,3,0.5313573913841212,COMPLETE
2,84.43060272344741,2025-12-13 17:44:19.251206,2025-12-13 17:44:20.500094,0 days 00:00:01.248888,0.03348307547671541,0.7437444403797215,0.15049395137161303,6.186068511019031e-06,6,7,0.9469209888806677,COMPLETE
3,90.42035941767257,2025-12-13 17:44:20.591215,2025-12-13 17:44:25.933901,0 days 00:00:05.342686,1.0653301151941862e-06,0.8128488077552982,0.14763393492021754,3.801722551035662e-05,15,5,0.8289263258765398,COMPLETE
4,80.96432630524343,2025-12-13 17:44:26.015309,2025-12-13 17:44:28.155343,0 days 00:00:02.140034,8.786767745539895e-05,0.7594817157408261,0.23877052454838232,3.9137099619537016e-07,8,1,0.5293177732911034,COMPLETE
5,89.00260537250917,2025-12-13 17:44:28.229871,2025-12-13 17:44:32.912153,0 days 00:00:04.682282,35.011954384104655,0.5568739048043834,0.06773743041193722,6.112439235296612e-07,8,1,0.9297690295524321,COMPLETE
6,88.02757952762798,2025-12-13 17:44:32.991632,2025-12-13 17:44:36.950557,0 days 00:00:03.958925,9.841855861571066,0.9154922807138861,0.2438053766790269,0.004426355906817353,11,4,0.8185760498412107,COMPLETE
7,85.23508570131015,2025-12-13 17:44:37.022924,2025-12-13 17:44:38.399120,0 days 00:00:01.376196,1.8187086795437169e-06,0.6164278759145263,0.17261696870192775,0.021295904231709656,6,1,0.8194637490131021,COMPLETE
8,90.24480080840688,2025-12-13 17:44:38.483908,2025-12-13 17:44:49.645647,0 days 00:00:11.161739,3.12088320041706,0.8164631601754865,0.1780078217572714,46.36909709497343,12,2,0.9271620639383327,COMPLETE
9,88.9216541132239,2025-12-13 17:44:49.717033,2025-12-13 17:44:55.715848,0 days 00:00:05.998815,7.986433265529626e-05,0.8376675676148182,0.07802631100842036,8.395413651224483e-06,8,8,0.7612160730449764,COMPLETE
10,77.07444120213383,2025-12-13 17:44:55.797868,2025-12-13 17:44:57.569933,0 days 00:00:01.772065,5.8551896462425105e-08,0.6674682114582574,0.28579333487804726,1.3017221202683258e-08,13,10,0.502598275266187,COMPLETE
11,77.89767904439412,2025-12-13 17:44:57.648372,2025-12-13 17:45:00.019896,0 days 00:00:02.371524,1.4228525384662432e-08,0.6447096925833575,0.29926471514694836,1.1938783539062265e-08,14,9,0.5035021457965945,COMPLETE
12,80.0462232914076,2025-12-13 17:45:00.103570,2025-12-13 17:45:03.554138,0 days 00:00:03.450568,3.2322312979513344e-08,0.6342705244406511,0.2939914775054953,1.3993828226095834e-08,14,10,0.5904651136480589,COMPLETE
