number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_eta,params_lambda,params_max_depth,params_min_child_weight,params_subsample,state
0,77.73676106770358,2025-12-13 19:32:14.463829,2025-12-13 19:32:21.043347,0 days 00:00:06.579518,2.6432301806277816,0.760156462048247,0.1581301327383325,0.24878221151737082,11,8,0.6628140211165332,COMPLETE
1,89.95318884544942,2025-12-13 19:32:21.118189,2025-12-13 19:32:28.450834,0 days 00:00:07.332645,1.3680699484755976,0.7960485234912843,0.05422658696186376,1.0790442666989963e-07,10,6,0.73088432227505,COMPLETE
2,89.61069174905295,2025-12-13 19:32:28.527734,2025-12-13 19:32:34.505475,0 days 00:00:05.977741,0.032672721499645,0.6684094977409691,0.03095203386273781,8.083257872707699e-05,8,10,0.9204511016817056,COMPLETE
3,75.3050169147559,2025-12-13 19:32:34.585647,2025-12-13 19:32:43.330834,0 days 00:00:08.745187,1.7707699107045372e-07,0.9985781176426891,0.20158656745647607,14.065220020166914,10,6,0.950562538816229,COMPLETE
4,86.04661660307211,2025-12-13 19:32:43.419080,2025-12-13 19:32:53.601489,0 days 00:00:10.182409,0.2304436801034125,0.5429262659361012,0.20015503030311446,44.40483963843081,13,8,0.7556910264738903,COMPLETE
5,86.34863909955621,2025-12-13 19:32:53.685732,2025-12-13 19:32:58.077337,0 days 00:00:04.391605,7.213408099530562e-05,0.8287942886180453,0.060554036941248904,7.532626685913699e-08,8,4,0.6774348766915892,COMPLETE
6,78.32015083266342,2025-12-13 19:32:58.160051,2025-12-13 19:32:58.997531,0 days 00:00:00.837480,0.03898177626453949,0.6519075976171878,0.25593786593542006,4.278054984472264e-05,5,10,0.7394033933604205,COMPLETE
7,79.37715430113347,2025-12-13 19:32:59.075715,2025-12-13 19:33:01.201899,0 days 00:00:02.126184,0.1300234300570599,0.9707221222978956,0.11696774111465501,0.013587000956207093,8,10,0.5099384791226247,COMPLETE
8,80.50605010337567,2025-12-13 19:33:01.280939,2025-12-13 19:33:04.203792,0 days 00:00:02.922853,1.9292175125948768e-08,0.8351931012503245,0.14604386258026353,3.7406148408339605e-06,8,2,0.5533692134412718,COMPLETE
9,86.38452897378168,2025-12-13 19:33:04.280613,2025-12-13 19:33:08.503419,0 days 00:00:04.222806,76.10272043088807,0.8616598326634162,0.05367533766122273,6.495274421056996e-05,7,6,0.7806934334443038,COMPLETE
10,95.68907590363352,2025-12-13 19:33:08.578207,2025-12-13 19:33:36.920517,0 days 00:00:28.342310,1.310949389999242e-08,0.9946050972247635,0.29910371294778626,36.63790501936062,15,1,0.9952466937985572,COMPLETE
11,83.64994990934694,2025-12-13 19:33:37.001119,2025-12-13 19:33:40.699444,0 days 00:00:03.698325,1.2804163148980528e-05,0.7101141221174864,0.21063333646047766,0.142525062316475,11,8,0.8608011626861645,COMPLETE
