number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_eta,params_lambda,params_max_depth,params_min_child_weight,params_subsample,state
0,1.150372431857753,2025-11-15 00:03:00.274383,2025-11-15 00:03:01.478136,0 days 00:00:01.203753,2.6432301806277816,0.760156462048247,0.1581301327383325,0.24878221151737082,11,8,0.6628140211165332,COMPLETE
1,1.1012993255664312,2025-11-15 00:03:01.478136,2025-11-15 00:03:02.574756,0 days 00:00:01.096620,1.3680699484755976,0.7960485234912843,0.05422658696186376,1.0790442666989963e-07,10,6,0.73088432227505,COMPLETE
2,1.0682127945210322,2025-11-15 00:03:02.574756,2025-11-15 00:03:03.057539,0 days 00:00:00.482783,0.032672721499645,0.6684094977409691,0.03095203386273781,8.083257872707699e-05,8,10,0.9204511016817056,COMPLETE
3,1.1408202316184632,2025-11-15 00:03:03.057539,2025-11-15 00:03:04.485849,0 days 00:00:01.428310,1.7707699107045372e-07,0.9985781176426891,0.20158656745647607,14.065220020166914,10,6,0.950562538816229,COMPLETE
4,1.111267178167938,2025-11-15 00:03:04.485849,2025-11-15 00:03:05.991004,0 days 00:00:01.505155,0.2304436801034125,0.5429262659361012,0.20015503030311446,44.40483963843081,13,8,0.7556910264738903,COMPLETE
5,1.1112326323175812,2025-11-15 00:03:05.991004,2025-11-15 00:03:06.676384,0 days 00:00:00.685380,7.213408099530562e-05,0.8287942886180453,0.060554036941248904,7.532626685913699e-08,8,4,0.6774348766915892,COMPLETE
6,1.2416296036739782,2025-11-15 00:03:06.676384,2025-11-15 00:03:06.947466,0 days 00:00:00.271082,0.03898177626453949,0.6519075976171878,0.25593786593542006,4.278054984472264e-05,5,10,0.7394033933604205,COMPLETE
7,1.1406389473967113,2025-11-15 00:03:06.947466,2025-11-15 00:03:07.452609,0 days 00:00:00.505143,0.1300234300570599,0.9707221222978956,0.11696774111465501,0.013587000956207093,8,10,0.5099384791226247,COMPLETE
8,1.2160453827851256,2025-11-15 00:03:07.452609,2025-11-15 00:03:08.239070,0 days 00:00:00.786461,1.9292175125948768e-08,0.8351931012503245,0.14604386258026353,3.7406148408339605e-06,8,2,0.5533692134412718,COMPLETE
9,1.0399181974545977,2025-11-15 00:03:08.239070,2025-11-15 00:03:08.769227,0 days 00:00:00.530157,76.10272043088807,0.8616598326634162,0.05367533766122273,6.495274421056996e-05,7,6,0.7806934334443038,COMPLETE
10,1.0433103465227302,2025-11-15 00:03:08.769227,2025-11-15 00:03:09.005637,0 days 00:00:00.236410,84.80808806345834,0.9087090130034081,0.09834705597898186,0.006661705232136753,5,1,0.8540636504525818,COMPLETE
11,1.0558751953012948,2025-11-15 00:03:09.005637,2025-11-15 00:03:09.340673,0 days 00:00:00.335036,34.10144372149629,0.9096199208704303,0.10256374055373996,0.006378171336692703,5,1,0.8465927570128133,COMPLETE
12,1.0449151746907845,2025-11-15 00:03:09.340673,2025-11-15 00:03:09.678549,0 days 00:00:00.337876,56.334985551825326,0.9030731936500206,0.09022626663376977,0.21063007139131645,6,4,0.8269443316046364,COMPLETE
13,1.063279285977487,2025-11-15 00:03:09.678549,2025-11-15 00:03:10.088770,0 days 00:00:00.410221,0.0004112817392910131,0.9037147898706682,0.016319156435258532,0.00032034490350174707,6,3,0.8524341029050007,COMPLETE
14,1.042195667489315,2025-11-15 00:03:10.088770,2025-11-15 00:03:10.448401,0 days 00:00:00.359631,76.98933000714038,0.6985416159906644,0.06787510395037066,3.28695835827431e-06,7,5,0.8963247010088969,COMPLETE
15,1.1008259617096172,2025-11-15 00:03:10.448401,2025-11-15 00:03:12.222756,0 days 00:00:01.774355,2.5263749953635073e-06,0.6792348209359308,0.05293443876086773,2.2420080959616383e-06,14,7,0.9972078350002228,COMPLETE
16,1.0493101616476685,2025-11-15 00:03:12.222756,2025-11-15 00:03:12.803646,0 days 00:00:00.580890,3.342374017511985,0.584286402167628,0.013871575855631042,3.832281271839803e-06,7,4,0.9128947879135338,COMPLETE
17,1.2907595068582476,2025-11-15 00:03:12.803646,2025-11-15 00:03:14.219616,0 days 00:00:01.415970,0.0029808888563933916,0.7434616742749156,0.28650665072561765,1.340941244692364e-08,11,5,0.78845129547695,COMPLETE
18,1.0858085657955228,2025-11-15 00:03:14.219616,2025-11-15 00:03:14.799177,0 days 00:00:00.579561,5.4774744835142934,0.718910460139507,0.07579228428427007,6.232745077724831e-07,7,7,0.6395674914815799,COMPLETE
