number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_eta,params_lambda,params_max_depth,params_min_child_weight,params_subsample,state
0,1.1491910886287002,2025-11-15 17:11:08.015063,2025-11-15 17:11:10.456914,0 days 00:00:02.441851,2.6432301806277816,0.760156462048247,0.1581301327383325,0.24878221151737082,11,8,0.6628140211165332,COMPLETE
1,1.108179062113861,2025-11-15 17:11:10.456914,2025-11-15 17:11:12.783084,0 days 00:00:02.326170,1.3680699484755976,0.7960485234912843,0.05422658696186376,1.0790442666989963e-07,10,6,0.73088432227505,COMPLETE
2,1.0691389431836027,2025-11-15 17:11:12.783084,2025-11-15 17:11:13.817693,0 days 00:00:01.034609,0.032672721499645,0.6684094977409691,0.03095203386273781,8.083257872707699e-05,8,10,0.9204511016817056,COMPLETE
3,1.1352636606817528,2025-11-15 17:11:13.817693,2025-11-15 17:11:16.864000,0 days 00:00:03.046307,1.7707699107045372e-07,0.9985781176426891,0.20158656745647607,14.065220020166914,10,6,0.950562538816229,COMPLETE
4,1.0886616227500425,2025-11-15 17:11:16.864000,2025-11-15 17:11:19.586466,0 days 00:00:02.722466,0.2304436801034125,0.5429262659361012,0.20015503030311446,44.40483963843081,13,8,0.7556910264738903,COMPLETE
5,1.1188053504348605,2025-11-15 17:11:19.586466,2025-11-15 17:11:21.062332,0 days 00:00:01.475866,7.213408099530562e-05,0.8287942886180453,0.060554036941248904,7.532626685913699e-08,8,4,0.6774348766915892,COMPLETE
6,1.254324108477548,2025-11-15 17:11:21.062332,2025-11-15 17:11:21.643507,0 days 00:00:00.581175,0.03898177626453949,0.6519075976171878,0.25593786593542006,4.278054984472264e-05,5,10,0.7394033933604205,COMPLETE
7,1.1688079866121062,2025-11-15 17:11:21.643507,2025-11-15 17:11:22.758170,0 days 00:00:01.114663,0.1300234300570599,0.9707221222978956,0.11696774111465501,0.013587000956207093,8,10,0.5099384791226247,COMPLETE
8,1.2431808420959904,2025-11-15 17:11:22.758170,2025-11-15 17:11:24.516219,0 days 00:00:01.758049,1.9292175125948768e-08,0.8351931012503245,0.14604386258026353,3.7406148408339605e-06,8,2,0.5533692134412718,COMPLETE
9,1.042378936125719,2025-11-15 17:11:24.516219,2025-11-15 17:11:25.300476,0 days 00:00:00.784257,76.10272043088807,0.8616598326634162,0.05367533766122273,6.495274421056996e-05,7,6,0.7806934334443038,COMPLETE
10,1.0434329064411243,2025-11-15 17:11:25.300476,2025-11-15 17:11:25.835293,0 days 00:00:00.534817,84.80808806345834,0.9087090130034081,0.09834705597898186,0.006661705232136753,5,1,0.8540636504525818,COMPLETE
11,1.060751068591023,2025-11-15 17:11:25.835293,2025-11-15 17:11:26.604205,0 days 00:00:00.768912,34.10144372149629,0.9096199208704303,0.10256374055373996,0.006378171336692703,5,1,0.8465927570128133,COMPLETE
