number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_eta,params_lambda,params_max_depth,params_min_child_weight,params_subsample,state
0,86.58179627765779,2025-12-13 13:57:00.739915,2025-12-13 13:59:17.860846,0 days 00:02:17.120931,0.00039757932377926876,0.722850718974444,0.015202245087608254,0.4503502851499871,7,3,0.8291724126530169,COMPLETE
1,115.3070558310155,2025-12-13 13:57:00.743930,2025-12-13 13:57:50.745338,0 days 00:00:50.001408,0.20970680926835303,0.6804942307532442,0.2701830460445774,0.2836622477561013,13,3,0.9106262726776433,COMPLETE
2,87.68082782175838,2025-12-13 13:57:00.748427,2025-12-13 13:57:23.442393,0 days 00:00:22.693966,0.0006673879009787487,0.7109404950499056,0.12809671095865774,0.007272947995246663,6,5,0.8547867743846178,COMPLETE
3,86.29083148349504,2025-12-13 13:57:00.796333,2025-12-13 14:02:05.134599,0 days 00:05:04.338266,1.8428118479144392e-06,0.884228469177019,0.06445416842693112,0.7672154214115893,13,4,0.8304636604940775,COMPLETE
4,108.53878472236457,2025-12-13 13:57:00.833141,2025-12-13 13:57:17.962235,0 days 00:00:17.129094,0.00249276800775478,0.6650713095047496,0.2676577111297464,0.002415240455981823,10,10,0.9736048235728718,COMPLETE
5,81.4177528488006,2025-12-13 13:57:00.859421,2025-12-13 13:57:13.147594,0 days 00:00:12.288173,0.0012149738278008262,0.8485941655497924,0.14298417489147977,7.107969377139162,5,3,0.8433961040068261,COMPLETE
6,90.53929363470075,2025-12-13 13:57:00.908140,2025-12-13 13:57:44.364942,0 days 00:00:43.456802,0.045953333734673675,0.7925890579116156,0.07399806430250304,62.3045043550908,6,7,0.7436541482504524,COMPLETE
7,91.53370842756561,2025-12-13 13:57:00.908140,2025-12-13 13:57:28.556471,0 days 00:00:27.648331,0.0033159008172009893,0.781695730726278,0.13416993230030205,1.8162477716183843e-07,9,3,0.8239653953667357,COMPLETE
8,92.26261482381518,2025-12-13 13:57:13.149060,2025-12-13 13:57:53.450478,0 days 00:00:40.301418,3.7020619143202995,0.9730284436549768,0.09264846934934041,0.018062582319983346,7,10,0.9172750940697081,COMPLETE
9,107.7420677334754,2025-12-13 13:57:17.967432,2025-12-13 13:57:49.279030,0 days 00:00:31.311598,40.848361723261625,0.523253288622701,0.14195523647674693,7.702744235366399e-07,10,7,0.6019710939873366,COMPLETE
10,87.28377207831107,2025-12-13 13:57:23.457400,2025-12-13 13:57:48.945881,0 days 00:00:25.488481,7.464833603228519,0.8893249317656645,0.21474806940163832,2.459624812842245e-05,10,6,0.7242709162397416,COMPLETE
11,89.11482554939394,2025-12-13 13:57:28.571478,2025-12-13 13:59:21.176055,0 days 00:01:52.604577,0.00015916834475123722,0.8039570901821453,0.06346888941552783,2.8724042376146493e-06,12,2,0.9953372485008657,COMPLETE
12,100.07307763132332,2025-12-13 13:57:44.364942,2025-12-13 13:58:14.349034,0 days 00:00:29.984092,0.6847700103087374,0.6106641620273215,0.22527612663782465,0.0735284892789608,10,7,0.5885439852567459,COMPLETE
13,102.35841494059818,2025-12-13 13:57:48.962657,2025-12-13 13:58:10.339453,0 days 00:00:21.376796,5.618772785925855,0.5616068413206998,0.20028864015108316,0.005183636989184193,6,2,0.7272644015256722,COMPLETE
14,102.09240169411468,2025-12-13 13:57:49.279030,2025-12-13 13:58:28.730914,0 days 00:00:39.451884,0.0017725467456699688,0.6640000478406287,0.19078650515307327,8.502772374809909e-08,12,2,0.8541847770766894,COMPLETE
15,90.23128738446046,2025-12-13 13:57:50.745338,2025-12-13 13:58:34.589388,0 days 00:00:43.844050,4.074897250658147,0.7673354116028982,0.08923950265869977,0.00013607110245322083,10,3,0.514256282254838,COMPLETE
16,87.10301999209814,2025-12-13 13:57:53.450478,2025-12-13 14:03:13.417138,0 days 00:05:19.966660,4.3252599702383954e-07,0.6951031534252126,0.09290791149823573,5.717830949076556e-06,14,6,0.8540096598700274,COMPLETE
17,104.79356348267557,2025-12-13 13:58:10.344277,2025-12-13 14:05:38.072103,0 days 00:07:27.727826,9.646525855892612e-07,0.874295566443183,0.02481064531913213,58.77254441188112,15,1,0.541699390133006,COMPLETE
18,85.56253104278476,2025-12-13 13:58:14.349780,2025-12-13 14:04:41.843485,0 days 00:06:27.493705,6.167938100372408e-07,0.9081527284607842,0.01894677392339769,2.6276148606920718e-05,15,5,0.6848566863857878,COMPLETE
19,86.61795287176035,2025-12-13 13:58:28.741557,2025-12-13 14:04:30.212471,0 days 00:06:01.470914,1.6643099675637933e-06,0.8986504549658042,0.018367574581300353,1.7804773735595174e-05,14,5,0.6860414220796767,COMPLETE
20,86.34839033062194,2025-12-13 13:58:34.589388,2025-12-13 13:59:17.714842,0 days 00:00:43.125454,3.899363722105295e-07,0.8905235742591925,0.18553461296320373,1.7488034999448766e-05,14,5,0.6846296512395642,COMPLETE
