number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_eta,params_lambda,params_max_depth,params_min_child_weight,params_subsample,state
0,86.17314338693141,2025-11-17 12:26:42.158875,2025-11-17 12:30:09.119664,0 days 00:03:26.960789,4.734443920105582e-05,0.8915688686790177,0.04350799470639757,44.33210023120453,11,4,0.8454073273777742,COMPLETE
1,80.726546943784,2025-11-17 12:26:42.168043,2025-11-17 12:27:21.104787,0 days 00:00:38.936744,47.42892132158834,0.7538725484988131,0.16764316496222553,2.5118868453797864e-05,15,3,0.6228646784050244,COMPLETE
2,82.77367945457505,2025-11-17 12:26:42.168043,2025-11-17 12:27:08.607830,0 days 00:00:26.439787,1.1210542427278283,0.9476127200276575,0.089457395372732,6.610002665979247e-08,5,9,0.8265481364206317,COMPLETE
3,85.887456639497,2025-11-17 12:26:42.169879,2025-11-17 12:27:28.880556,0 days 00:00:46.710677,8.54125563917053,0.8993615139296282,0.2618278741735284,2.6105720724808243e-08,15,2,0.5247107022748589,COMPLETE
4,82.19068750934083,2025-11-17 12:26:42.172881,2025-11-17 12:27:51.094439,0 days 00:01:08.921558,0.0011106820742526713,0.8174634191312042,0.07270859975864938,0.0004867400174248065,11,10,0.6655439966606107,COMPLETE
5,80.56870350232631,2025-11-17 12:26:42.174881,2025-11-17 12:27:14.608063,0 days 00:00:32.433182,2.6446340041550582e-05,0.6645220035775032,0.2575586367939877,1.584259616550608e-06,13,9,0.784934770057355,COMPLETE
6,88.756722942758,2025-11-17 12:26:42.176882,2025-11-17 12:27:09.407045,0 days 00:00:27.230163,20.430640939749743,0.7965594470315662,0.17201817573670206,5.001193347679652e-07,10,3,0.5061039778928835,COMPLETE
7,86.96873485054384,2025-11-17 12:26:42.179882,2025-11-17 12:27:12.281085,0 days 00:00:30.101203,3.2189428502003563e-06,0.6185719163688115,0.24361604161788206,0.037338340375212616,12,3,0.94275731224697,COMPLETE
8,88.35484773096812,2025-11-17 12:26:42.181880,2025-11-17 12:27:23.722822,0 days 00:00:41.540942,0.8095063424492582,0.6175017920440253,0.05633751613245351,2.202452755967155e-06,7,2,0.7977284092316268,COMPLETE
9,88.39732836612829,2025-11-17 12:26:42.182882,2025-11-17 12:27:05.229546,0 days 00:00:23.046664,0.00020448279449473421,0.6199780902108187,0.18726826394771054,1.3605424777756875e-05,8,9,0.8763047529342802,COMPLETE
10,91.49417265066128,2025-11-17 12:26:42.184881,2025-11-17 12:27:00.795115,0 days 00:00:18.610234,1.4387990207618294e-06,0.9647288912737586,0.20335273568119716,46.81999780429794,6,7,0.8869296246843186,COMPLETE
11,85.15789829013383,2025-11-17 12:26:42.185883,2025-11-17 12:27:10.861980,0 days 00:00:28.676097,1.7387045423259609e-06,0.8962603334624517,0.29785835380271725,3.399666608540482e-08,13,5,0.7557406890191707,COMPLETE
12,76.19838533968064,2025-11-17 12:27:00.804119,2025-11-17 12:27:16.993945,0 days 00:00:16.189826,0.012172955654530134,0.5454766472421682,0.2071317569724938,5.168696420672183e-05,9,10,0.5276857380488225,COMPLETE
13,82.01503342778054,2025-11-17 12:27:05.400880,2025-11-17 12:27:27.303327,0 days 00:00:21.902447,0.0033200530262931516,0.5664485648536874,0.10833792926495926,2.8292251563192874,8,8,0.5552142884581754,COMPLETE
14,77.7254791933407,2025-11-17 12:27:08.615832,2025-11-17 12:27:26.309310,0 days 00:00:17.693478,13.262810809333137,0.5822219653050538,0.2264537826466589,0.0006220851828467479,11,10,0.6796808787215327,COMPLETE
15,95.43079116786399,2025-11-17 12:27:09.413046,2025-11-17 12:27:22.718944,0 days 00:00:13.305898,0.11278015358929183,0.9993535986666062,0.23735105538456333,3.7511420435449163e-06,8,3,0.6134668956646155,COMPLETE
16,87.28492688647356,2025-11-17 12:27:10.869981,2025-11-17 12:27:34.382820,0 days 00:00:23.512839,0.07360312845352855,0.6288323171670309,0.1096460900393919,1.7062333874997778e-07,7,2,0.8908024579659661,COMPLETE
