number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_eta,params_lambda,params_max_depth,params_min_child_weight,params_subsample,state
0,1.3068182894854994,2025-11-15 17:29:04.411785,2025-11-15 17:29:11.276730,0 days 00:00:06.864945,0.025607477231988973,0.8468056309219267,0.2010513959274669,2.562613503687817e-07,14,2,0.6293825215159485,COMPLETE
1,1.1561338179866918,2025-11-15 17:29:11.276730,2025-11-15 17:29:15.736479,0 days 00:00:04.459749,0.0007567027772485525,0.9816175726301427,0.13958496470688575,0.7911827918309033,13,5,0.9079226725619223,COMPLETE
2,1.0621874395241122,2025-11-15 17:29:15.736479,2025-11-15 17:29:16.533890,0 days 00:00:00.797411,3.218274215622912,0.8616674141823275,0.03816004270441947,1.4746658319061317,5,1,0.9141037657302293,COMPLETE
3,1.198380712043649,2025-11-15 17:29:16.533890,2025-11-15 17:29:18.601405,0 days 00:00:02.067515,5.457803894582889,0.7312323920067152,0.28803858425361367,4.87293898150762e-07,9,5,0.825987163900674,COMPLETE
4,1.1457119359256978,2025-11-15 17:29:18.601405,2025-11-15 17:29:22.626264,0 days 00:00:04.024859,0.0002311830972949679,0.9153271066991706,0.2701382851472225,21.571549413313104,14,9,0.9436692262036939,COMPLETE
5,1.1544545030757998,2025-11-15 17:29:22.626264,2025-11-15 17:29:24.846437,0 days 00:00:02.220173,7.012091655911655e-05,0.7539721743102064,0.09199890003311864,2.4018258956562694e-07,13,7,0.5268045572810165,COMPLETE
6,1.078348847572108,2025-11-15 17:29:24.846437,2025-11-15 17:29:28.113220,0 days 00:00:03.266783,2.787724443716974e-07,0.8663582304622776,0.02281489005776543,0.21673754762092326,10,1,0.798657758288644,COMPLETE
7,1.1982639314440344,2025-11-15 17:29:28.113220,2025-11-15 17:29:29.636539,0 days 00:00:01.523319,1.4848071769705094e-08,0.5748443011434303,0.14352176852330825,1.784931009233257e-08,9,6,0.6977995109652007,COMPLETE
8,1.239811187702834,2025-11-15 17:29:29.636539,2025-11-15 17:29:30.416644,0 days 00:00:00.780105,3.410894389057689e-06,0.6161752565819156,0.2830693992677832,0.02210389522510917,6,10,0.9807854065034601,COMPLETE
9,1.0868628111664633,2025-11-15 17:29:30.416644,2025-11-15 17:29:31.156567,0 days 00:00:00.739923,0.0027972657400287893,0.6072765212734761,0.07225708448640639,0.25686768882534344,6,10,0.9081643396302672,COMPLETE
10,1.040786237952013,2025-11-15 17:29:31.156567,2025-11-15 17:29:31.936417,0 days 00:00:00.779850,92.80461486062971,0.7385939605763889,0.019338233547406852,8.354751030991662e-05,5,3,0.8275099258123517,COMPLETE
11,1.0401144572871837,2025-11-15 17:29:31.946532,2025-11-15 17:29:32.801455,0 days 00:00:00.854923,95.66876020871386,0.7469634407746482,0.012504258448919382,0.0002473457861131514,5,3,0.8371832892724476,COMPLETE
12,1.0405713947938742,2025-11-15 17:29:32.801455,2025-11-15 17:29:34.556502,0 days 00:00:01.755047,81.61860631654663,0.715734982479557,0.011831270635026175,0.0001261936965324124,7,3,0.7545003569036586,COMPLETE
