number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_eta,params_lambda,params_max_depth,params_min_child_weight,params_subsample,state
0,79.86406564367971,2025-12-13 17:08:35.519096,2025-12-13 17:08:36.855301,0 days 00:00:01.336205,9.563759526973396e-07,0.7492535061512953,0.23368298654735634,1.769972241254808e-06,5,7,0.8744019412693059,COMPLETE
1,92.56116691349833,2025-12-13 17:08:36.952587,2025-12-13 17:08:38.550029,0 days 00:00:01.597442,0.0013241056351907755,0.9766966730974682,0.23055390653769803,1.0951728359885016e-08,6,1,0.8426799091838986,COMPLETE
2,86.04306688849985,2025-12-13 17:08:38.643044,2025-12-13 17:08:42.822326,0 days 00:00:04.179282,0.0026634446753138856,0.9588870612564717,0.2456600788791129,0.13988071192040605,11,8,0.6459380340853166,COMPLETE
3,90.94184609401283,2025-12-13 17:08:42.924497,2025-12-13 17:08:49.178996,0 days 00:00:06.254499,0.0013532636785088263,0.7170069966666468,0.051229313804442816,0.01505461954644427,9,7,0.720916587211498,COMPLETE
4,86.20724209560471,2025-12-13 17:08:49.296609,2025-12-13 17:08:52.896509,0 days 00:00:03.599900,8.027743594569378e-08,0.9543244404043341,0.1986151827601255,1.5572591447800067e-05,11,9,0.7608235761968171,COMPLETE
5,86.78424992146886,2025-12-13 17:08:52.980564,2025-12-13 17:08:54.528949,0 days 00:00:01.548385,1.559085586943351,0.8131435741556963,0.09720301642449897,0.0029913109392181187,6,9,0.5234481596946249,COMPLETE
6,82.61252023787439,2025-12-13 17:08:54.615624,2025-12-13 17:09:31.770660,0 days 00:00:37.155036,1.7993530249425475e-05,0.6479808534398394,0.06769478650685556,6.908198301652108,14,4,0.8773238457649286,COMPLETE
7,92.05238814721568,2025-12-13 17:09:31.970495,2025-12-13 17:09:42.543227,0 days 00:00:10.572732,27.708123990732204,0.5755760098212819,0.05785461033855306,6.936565426084549e-05,9,1,0.9105528289184642,COMPLETE
8,69.46404058727045,2025-12-13 17:09:42.636856,2025-12-13 17:09:48.656677,0 days 00:00:06.019821,0.002216049658169263,0.7986858241154422,0.29641138772154296,10.673764174960096,10,9,0.6256870671035297,COMPLETE
9,93.75544635400254,2025-12-13 17:09:48.743741,2025-12-13 17:09:50.003244,0 days 00:00:01.259503,0.547397692188383,0.6527299591714091,0.18115839526577265,2.028584579475462e-05,5,4,0.5398065450779821,COMPLETE
10,73.05278139614657,2025-12-13 17:09:50.107351,2025-12-13 17:10:05.645831,0 days 00:00:15.538480,0.05178297453343908,0.8580835145215141,0.2841595065100611,51.91501989336551,15,10,0.6437581312791225,COMPLETE
11,78.82406981178926,2025-12-13 17:10:05.766695,2025-12-13 17:10:17.343846,0 days 00:00:11.577151,0.19920121075644276,0.8438062284676763,0.2729860594220144,87.71308115223324,15,10,0.6269578446719174,COMPLETE
12,80.89825076942296,2025-12-13 17:10:17.439051,2025-12-13 17:10:20.574123,0 days 00:00:03.135072,0.030327473533894,0.8336308663876633,0.2998182329327673,1.2068256223606904,13,10,0.6346248168508736,COMPLETE
13,74.57220757432314,2025-12-13 17:10:20.663596,2025-12-13 17:10:47.065299,0 days 00:00:26.401703,3.081926425476579e-05,0.8783435206656148,0.11783554815964775,27.932246293414874,12,6,0.7208751269501861,COMPLETE
14,83.38989200377904,2025-12-13 17:10:47.192322,2025-12-13 17:10:51.138771,0 days 00:00:03.946449,99.12706726220266,0.909864275787635,0.2972866538137728,0.9247656076964943,8,10,0.9957621421360684,COMPLETE
15,84.26270191340129,2025-12-13 17:10:51.244649,2025-12-13 17:11:05.503725,0 days 00:00:14.259076,0.02581492556290555,0.8000576847764751,0.1418593076220204,0.07013606632167209,15,8,0.5874370498627863,COMPLETE
16,75.5181157104012,2025-12-13 17:11:05.604547,2025-12-13 17:11:10.276726,0 days 00:00:04.672179,4.651308755966975e-05,0.7016482724498515,0.26313907518462515,4.379547708906891,10,5,0.6812187850907718,COMPLETE
17,80.20143034859666,2025-12-13 17:11:10.383348,2025-12-13 17:11:16.252641,0 days 00:00:05.869293,0.018437067516192653,0.7671771397121109,0.20595327696977211,0.28314152593329434,13,8,0.7734773536539415,COMPLETE
18,82.83415464741901,2025-12-13 17:11:16.371129,2025-12-13 17:11:21.410737,0 days 00:00:05.039608,4.336259206662234,0.913368083410168,0.16206591354806416,96.89402558117311,8,9,0.5695929843372521,COMPLETE
19,116.81531623623259,2025-12-13 17:11:21.537184,2025-12-13 17:11:26.652524,0 days 00:00:05.115340,0.0001507226039922615,0.53260594722284,0.26956282538285825,0.0010806767959687363,12,3,0.5058946029935644,COMPLETE
20,75.12685051931582,2025-12-13 17:11:26.767599,2025-12-13 17:11:30.929152,0 days 00:00:04.161553,2.402809119445172e-06,0.8759211950662255,0.21060723507375456,6.972191095784271,10,7,0.680062434883768,COMPLETE
21,82.19550006805585,2025-12-13 17:11:31.032758,2025-12-13 17:12:16.493498,0 days 00:00:45.460740,7.974917143699375e-05,0.8854241634137545,0.013998736578301835,27.195695449005772,13,6,0.7128489726662236,COMPLETE
22,76.82775200036953,2025-12-13 17:12:16.608177,2025-12-13 17:12:37.960406,0 days 00:00:21.352229,1.5661797188952344e-08,0.8571319499320813,0.12760229254473365,11.994928444567352,12,6,0.8051705903082392,COMPLETE
23,79.63058168381217,2025-12-13 17:12:38.058040,2025-12-13 17:12:47.894682,0 days 00:00:09.836642,4.743526121194796e-06,0.7878008284771522,0.10415478018823433,1.1085700554074243,14,9,0.5943918146654383,COMPLETE
24,79.1401049433176,2025-12-13 17:12:48.004891,2025-12-13 17:13:09.620399,0 days 00:00:21.615508,0.00028982567107236316,0.9210943695687994,0.16274247192312316,93.50619531367697,11,10,0.6911066246271281,COMPLETE
25,89.24500842771278,2025-12-13 17:13:09.730537,2025-12-13 17:13:22.086625,0 days 00:00:12.356088,0.00709022908534263,0.7403971436943333,0.11641047761816697,0.020617588478397862,12,2,0.6494948358484317,COMPLETE
