number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_eta,params_lambda,params_max_depth,params_min_child_weight,params_subsample,state
0,1.1904396890734754,2025-11-15 14:10:11.704097,2025-11-15 14:10:12.262837,0 days 00:00:00.558740,9.563759526973396e-07,0.7492535061512953,0.23368298654735634,1.769972241254808e-06,5,7,0.8744019412693059,COMPLETE
1,1.272473035137393,2025-11-15 14:10:12.262837,2025-11-15 14:10:13.098377,0 days 00:00:00.835540,0.0013241056351907755,0.9766966730974682,0.23055390653769803,1.0951728359885016e-08,6,1,0.8426799091838986,COMPLETE
2,1.2492879662575442,2025-11-15 14:10:13.098377,2025-11-15 14:10:15.080393,0 days 00:00:01.982016,0.0026634446753138856,0.9588870612564717,0.2456600788791129,0.13988071192040605,11,8,0.6459380340853166,COMPLETE
3,1.0934483290124266,2025-11-15 14:10:15.080393,2025-11-15 14:10:16.531895,0 days 00:00:01.451502,0.0013532636785088263,0.7170069966666468,0.051229313804442816,0.01505461954644427,9,7,0.720916587211498,COMPLETE
4,1.2737541978653546,2025-11-15 14:10:16.531895,2025-11-15 14:10:18.725891,0 days 00:00:02.193996,8.027743594569378e-08,0.9543244404043341,0.1986151827601255,1.5572591447800067e-05,11,9,0.7608235761968171,COMPLETE
5,1.1183680803563105,2025-11-15 14:10:18.725891,2025-11-15 14:10:19.509012,0 days 00:00:00.783121,1.559085586943351,0.8131435741556963,0.09720301642449897,0.0029913109392181187,6,9,0.5234481596946249,COMPLETE
6,1.0844591551354217,2025-11-15 14:10:19.509012,2025-11-15 14:10:24.330197,0 days 00:00:04.821185,1.7993530249425475e-05,0.6479808534398394,0.06769478650685556,6.908198301652108,14,4,0.8773238457649286,COMPLETE
7,1.0534594150299434,2025-11-15 14:10:24.330197,2025-11-15 14:10:26.117679,0 days 00:00:01.787482,27.708123990732204,0.5755760098212819,0.05785461033855306,6.936565426084549e-05,9,1,0.9105528289184642,COMPLETE
8,1.1867230271162186,2025-11-15 14:10:26.117679,2025-11-15 14:10:28.034055,0 days 00:00:01.916376,0.002216049658169263,0.7986858241154422,0.29641138772154296,10.673764174960096,10,9,0.6256870671035297,COMPLETE
9,1.208579893071749,2025-11-15 14:10:28.035052,2025-11-15 14:10:28.659995,0 days 00:00:00.624943,0.547397692188383,0.6527299591714091,0.18115839526577265,2.028584579475462e-05,5,4,0.5398065450779821,COMPLETE
10,1.039539912614914,2025-11-15 14:10:28.659995,2025-11-15 14:10:29.314848,0 days 00:00:00.654853,88.81742313761711,0.5076744759104175,0.1249305242531559,4.267533342384549e-08,15,1,0.9522550175261899,COMPLETE
11,1.0421866024352582,2025-11-15 14:10:29.314848,2025-11-15 14:10:30.215207,0 days 00:00:00.900359,63.51221943433928,0.5013368471369942,0.11926208410022658,1.379908605262349e-08,15,1,0.9718346030919768,COMPLETE
12,1.0378164334035689,2025-11-15 14:10:30.216204,2025-11-15 14:10:30.872786,0 days 00:00:00.656582,83.57120536234143,0.5367841833454616,0.11824351205339048,2.9060382143628905e-08,15,3,0.9872612353464002,COMPLETE
13,1.0684358313426334,2025-11-15 14:10:30.872786,2025-11-15 14:10:34.365474,0 days 00:00:03.492688,0.24640618663763741,0.5073161689324037,0.012215786322551644,3.218759590570943e-07,13,3,0.9886805358104135,COMPLETE
14,1.0390056434885293,2025-11-15 14:10:34.365474,2025-11-15 14:10:34.903387,0 days 00:00:00.537913,99.12706726220266,0.5919493663229407,0.1399242579943715,2.0184607633064818e-07,13,3,0.9463998308383211,COMPLETE
15,1.15498170627995,2025-11-15 14:10:34.903387,2025-11-15 14:10:39.568553,0 days 00:00:04.665166,0.06824825417965365,0.5972115758908298,0.14697308976809087,1.2143078930782933e-06,13,3,0.800061430287951,COMPLETE
16,1.1216652522172124,2025-11-15 14:10:39.568553,2025-11-15 14:10:42.656964,0 days 00:00:03.088411,4.879210892873272,0.5992102015367969,0.16402286745838218,0.00027706268432546393,13,5,0.9232287972677827,COMPLETE
