,Close_ADF,Close_KPSS,LogReturn_ADF,LogReturn_KPSS
adf_stat,-1.1747554182527784,,-22.049576155859455,
p_value,0.9155488891982386,0.01,0.0,0.1
n_lags,11.0,42.0,10.0,11.0
n_obs,4756.0,,4757.0,
crit_1%,-3.9606747693908275,0.216,-3.431725411436783,0.739
crit_5%,-3.4114135285790286,0.146,-2.8621477762930767,0.463
crit_10%,-3.1275938238567598,0.119,-2.5670935212314934,0.347
kpss_stat,,1.0151351831152586,,0.13084974667705404
