baseline_modelName,target_isClose,period,GLOBAL_SEED,rmse,mae,r2,n_days,trading_days,skipped_trades,gap_skips,edge_skips,trade_rate,win_days,win_rate,compound_gross_return,total_return,annualized_return,cagr,sharpe_ratio,sortino_ratio,omega_ratio,max_drawdown,calmar_ratio,profit_factor,volatility,risk_free_rate,execution_threshold,max_gap
baseline_BuyAndHold,True,training,10,780.616931906994,716.2540588940235,-5.324936074250366,3262,3261,0,0,0,0.9996934396076027,1679,0.5148727384237963,1.331388067276047,1.0769871552611778,0.06757749178506645,0.06744424939914984,0.441307361189705,0.4313074310097893,1.082454280930039,0.443638441258952,0.1523256000839238,1.082454280930039,0.18853237393656844,0.0,0.0,0.02
baseline_BuyAndHold,True,validating,10,447.8703695622615,395.45019998890564,-3.5374677084450283,757,756,0,0,0,0.9986789960369881,418,0.5529100529100529,0.4146926234116757,0.3877718599184946,0.12241730690978159,0.12279645065398204,0.7834185471933404,0.7332600738671555,1.156380559126674,0.18220816418626676,0.6718541260568187,1.156380559126674,0.16477339949898062,0.0,0.0,0.02
baseline_BuyAndHold,True,testing,10,797.596768289989,742.9905490595872,-6.562029106469164,751,750,0,0,0,0.9986684420772304,402,0.536,0.4427783633803053,0.3983050034614397,0.13088865200405708,0.13082516639489805,0.9169512085303849,0.8925387816157369,1.1651257466330731,0.20430367714606895,0.6406573480832503,1.1651257466330731,0.1457572408239148,0.0,0.0,0.02
baseline_BuyAndHold,True,training,200,780.616931906994,716.2540588940235,-5.324936074250366,3262,3261,0,0,0,0.9996934396076027,1679,0.5148727384237963,1.331388067276047,1.0769871552611778,0.06757749178506645,0.06744424939914984,0.441307361189705,0.4313074310097893,1.082454280930039,0.443638441258952,0.1523256000839238,1.082454280930039,0.18853237393656844,0.0,0.0,0.02
baseline_BuyAndHold,True,validating,200,447.8703695622615,395.45019998890564,-3.5374677084450283,757,756,0,0,0,0.9986789960369881,418,0.5529100529100529,0.4146926234116757,0.3877718599184946,0.12241730690978159,0.12279645065398204,0.7834185471933404,0.7332600738671555,1.156380559126674,0.18220816418626676,0.6718541260568187,1.156380559126674,0.16477339949898062,0.0,0.0,0.02
baseline_BuyAndHold,True,testing,200,797.596768289989,742.9905490595872,-6.562029106469164,751,750,0,0,0,0.9986684420772304,402,0.536,0.4427783633803053,0.3983050034614397,0.13088865200405708,0.13082516639489805,0.9169512085303849,0.8925387816157369,1.1651257466330731,0.20430367714606895,0.6406573480832503,1.1651257466330731,0.1457572408239148,0.0,0.0,0.02
baseline_BuyAndHold,True,training,3000,780.616931906994,716.2540588940235,-5.324936074250366,3262,3261,0,0,0,0.9996934396076027,1679,0.5148727384237963,1.331388067276047,1.0769871552611778,0.06757749178506645,0.06744424939914984,0.441307361189705,0.4313074310097893,1.082454280930039,0.443638441258952,0.1523256000839238,1.082454280930039,0.18853237393656844,0.0,0.0,0.02
baseline_BuyAndHold,True,validating,3000,447.8703695622615,395.45019998890564,-3.5374677084450283,757,756,0,0,0,0.9986789960369881,418,0.5529100529100529,0.4146926234116757,0.3877718599184946,0.12241730690978159,0.12279645065398204,0.7834185471933404,0.7332600738671555,1.156380559126674,0.18220816418626676,0.6718541260568187,1.156380559126674,0.16477339949898062,0.0,0.0,0.02
baseline_BuyAndHold,True,testing,3000,797.596768289989,742.9905490595872,-6.562029106469164,751,750,0,0,0,0.9986684420772304,402,0.536,0.4427783633803053,0.3983050034614397,0.13088865200405708,0.13082516639489805,0.9169512085303849,0.8925387816157369,1.1651257466330731,0.20430367714606895,0.6406573480832503,1.1651257466330731,0.1457572408239148,0.0,0.0,0.02
baseline_BuyAndHold,True,training,40000,780.616931906994,716.2540588940235,-5.324936074250366,3262,3261,0,0,0,0.9996934396076027,1679,0.5148727384237963,1.331388067276047,1.0769871552611778,0.06757749178506645,0.06744424939914984,0.441307361189705,0.4313074310097893,1.082454280930039,0.443638441258952,0.1523256000839238,1.082454280930039,0.18853237393656844,0.0,0.0,0.02
baseline_BuyAndHold,True,validating,40000,447.8703695622615,395.45019998890564,-3.5374677084450283,757,756,0,0,0,0.9986789960369881,418,0.5529100529100529,0.4146926234116757,0.3877718599184946,0.12241730690978159,0.12279645065398204,0.7834185471933404,0.7332600738671555,1.156380559126674,0.18220816418626676,0.6718541260568187,1.156380559126674,0.16477339949898062,0.0,0.0,0.02
baseline_BuyAndHold,True,testing,40000,797.596768289989,742.9905490595872,-6.562029106469164,751,750,0,0,0,0.9986684420772304,402,0.536,0.4427783633803053,0.3983050034614397,0.13088865200405708,0.13082516639489805,0.9169512085303849,0.8925387816157369,1.1651257466330731,0.20430367714606895,0.6406573480832503,1.1651257466330731,0.1457572408239148,0.0,0.0,0.02
baseline_BuyAndHold,True,training,500000,780.616931906994,716.2540588940235,-5.324936074250366,3262,3261,0,0,0,0.9996934396076027,1679,0.5148727384237963,1.331388067276047,1.0769871552611778,0.06757749178506645,0.06744424939914984,0.441307361189705,0.4313074310097893,1.082454280930039,0.443638441258952,0.1523256000839238,1.082454280930039,0.18853237393656844,0.0,0.0,0.02
baseline_BuyAndHold,True,validating,500000,447.8703695622615,395.45019998890564,-3.5374677084450283,757,756,0,0,0,0.9986789960369881,418,0.5529100529100529,0.4146926234116757,0.3877718599184946,0.12241730690978159,0.12279645065398204,0.7834185471933404,0.7332600738671555,1.156380559126674,0.18220816418626676,0.6718541260568187,1.156380559126674,0.16477339949898062,0.0,0.0,0.02
